requisito,metodos,rota,endpoint,servicos_diretos,testes_de_servico_indiretos,observacao
EST-01 Estoque e alertas,GET,/api/estoque/notificacoes/popup,estoque.popup_notificacoes,AcessoEmpresaService.obter_escopo|EstoqueService.obter_popup_alertas,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
EST-01 Estoque e alertas,POST,/api/estoque/notificacoes/processar,estoque.processar_alertas,AcessoEmpresaService.obter_escopo|AlertaService.rotina,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission|tests/test_sprint04_operations.py::test_alerts_concurrent_queue_no_duplicate_recipients_or_daily_summary,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
EST-01 Estoque e alertas,GET,/api/estoque/view,estoque.pagina,template/decorator/helper/consulta direta,LACUNA: sem teste direto de servico localizado,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
FIN-02 Lancamentos e fechamento,GET,/api/financeiro/auxiliares,financeiro.auxiliares,AcessoEmpresaService.obter_escopo|FinanceiroService.listar_auxiliares,tests/test_fluxo_pdv_financeiro.py::test_cancelamento_parcial_de_item_reverte_estoque_e_ajusta_cashback|tests/test_fluxo_pdv_financeiro.py::test_cancelamento_reverte_estoque_e_financeiro|tests/test_fluxo_pdv_financeiro.py::test_cashback_respeita_limite_percentual_de_resgate_por_venda|tests/test_fluxo_pdv_financeiro.py::test_emissao_fiscal_gera_numero_chave_xml_e_incrementa_numeracao|tests/test_fluxo_pdv_financeiro.py::test_lancamento_manual_e_fechamento|tests/test_fluxo_pdv_financeiro.py::test_prevalidacao_fiscal_aponta_pendencias_sem_configuracao|tests/test_fluxo_pdv_financeiro.py::test_prevalidacao_fiscal_fica_pronta_com_base_minima_preenchida|tests/test_fluxo_pdv_financeiro.py::test_relatorio_produtos_mais_vendidos_consolida_itens_do_pdv|tests/test_fluxo_pdv_financeiro.py::test_template_html_do_email_de_venda_usa_identidade_oceanblue|tests/test_fluxo_pdv_financeiro.py::test_venda_automatica_aplica_preco_atacado_ao_atingir_quantidade_minima|tests/test_fluxo_pdv_financeiro.py::test_venda_baixa_estoque_e_gera_financeiro|tests/test_fluxo_pdv_financeiro.py::test_venda_com_cliente_envia_email_automatico_e_registra_cashback|tests/test_fluxo_pdv_financeiro.py::test_venda_com_cliente_gera_cashback_e_historico|tests/test_fluxo_pdv_financeiro.py::test_venda_em_atacado_exige_quantidade_minima_configurada|tests/test_fluxo_pdv_financeiro.py::test_venda_permanece_finalizada_quando_email_automatico_falha|tests/test_fluxo_pdv_financeiro.py::test_venda_pode_desativar_cashback_sem_afetar_carteira_existente|tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
FORA-01 Bancario,POST,/api/financeiro/boletos,boleto.criar_boleto,AcessoEmpresaService.obter_escopo|BoletoService.criar_boleto,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Fora do escopo funcional; testes existentes preservados
FORA-01 Bancario,GET,/api/financeiro/boletos,boleto.listar_boletos,AcessoEmpresaService.obter_escopo|BoletoService.listar_boletos,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Fora do escopo funcional; testes existentes preservados
FORA-01 Bancario,GET,/api/financeiro/boletos/<int:boleto_id>,boleto.buscar_boleto,AcessoEmpresaService.obter_escopo|BoletoService.buscar_boleto,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Fora do escopo funcional; testes existentes preservados
FORA-01 Bancario,POST,/api/financeiro/boletos/<int:boleto_id>/baixar,boleto.baixar_boleto,AcessoEmpresaService.obter_escopo|BoletoService.baixar_boleto,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Fora do escopo funcional; testes existentes preservados
FORA-01 Bancario,POST,/api/financeiro/boletos/<int:boleto_id>/consultar-status,boleto.consultar_status_boleto,AcessoEmpresaService.obter_escopo|BoletoService.consultar_status_bancario,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Fora do escopo funcional; testes existentes preservados
FORA-01 Bancario,POST,/api/financeiro/boletos/<int:boleto_id>/recalcular-juros,boleto.recalcular_juros,AcessoEmpresaService.obter_escopo|BoletoService.recalcular_juros_multa,tests/test_boleto_service.py::test_recalcular_juros_multa_nao_reaplica_total_de_forma_cumulativa|tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Fora do escopo funcional; testes existentes preservados
FORA-01 Bancario,POST,/api/financeiro/boletos/<int:boleto_id>/registrar,boleto.registrar_boleto,AcessoEmpresaService.obter_escopo|BoletoService.registrar_boleto,tests/test_boleto_service.py::test_registrar_boleto_atualiza_status_bancario_e_preserva_status_interno|tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Fora do escopo funcional; testes existentes preservados
FORA-01 Bancario,POST,/api/financeiro/boletos/<int:boleto_id>/retorno,boleto.processar_retorno_boleto,AcessoEmpresaService.obter_escopo|BoletoService.processar_retorno_bancario,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Fora do escopo funcional; testes existentes preservados
FORA-01 Bancario,POST,/api/financeiro/boletos/bancos-emissores,boleto.criar_banco_emissor,AcessoEmpresaService.obter_escopo|BancoEmissorService.criar_banco_emissor,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Fora do escopo funcional; testes existentes preservados
FORA-01 Bancario,GET,/api/financeiro/boletos/bancos-emissores,boleto.listar_bancos_emissores,AcessoEmpresaService.obter_escopo|BoletoService.listar_bancos_emissores,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Fora do escopo funcional; testes existentes preservados
FORA-01 Bancario,GET,/api/financeiro/boletos/configuracao-asaas,boleto.obter_configuracao_asaas,AcessoEmpresaService.obter_escopo|BoletoService.obter_configuracao_asaas,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Fora do escopo funcional; testes existentes preservados
FORA-01 Bancario,PUT,/api/financeiro/boletos/configuracao-asaas/<int:empresa_id>,boleto.atualizar_configuracao_asaas,AcessoEmpresaService.obter_escopo|BoletoService.atualizar_configuracao_asaas,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Fora do escopo funcional; testes existentes preservados
FORA-01 Bancario,POST,/api/financeiro/boletos/configuracoes-parcelamento,boleto.criar_configuracao_parcelamento,AcessoEmpresaService.obter_escopo|BancoEmissorService.criar_configuracao_parcelamento,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Fora do escopo funcional; testes existentes preservados
FORA-01 Bancario,GET,/api/financeiro/boletos/configuracoes-parcelamento,boleto.listar_configuracoes_parcelamento,AcessoEmpresaService.obter_escopo|BoletoService.listar_configuracoes_parcelamento,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Fora do escopo funcional; testes existentes preservados
FORA-01 Bancario,POST,/api/financeiro/boletos/regras-juros-multa,boleto.criar_regra_juros_multa,AcessoEmpresaService.obter_escopo|BancoEmissorService.criar_regra_juros_multa,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Fora do escopo funcional; testes existentes preservados
FORA-01 Bancario,GET,/api/financeiro/boletos/regras-juros-multa,boleto.listar_regras_juros_multa,AcessoEmpresaService.obter_escopo|BoletoService.listar_regras_juros_multa,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Fora do escopo funcional; testes existentes preservados
FORA-01 Bancario,GET,/api/financeiro/boletos/view,boleto.pagina,template/decorator/helper/consulta direta,LACUNA: sem teste direto de servico localizado,Fora do escopo funcional; testes existentes preservados
FORA-01 Bancario,POST,/api/financeiro/boletos/webhook/asaas/<int:tenant_id>/<int:empresa_id>,boleto.webhook_asaas,template/decorator/helper/consulta direta,LACUNA: sem teste direto de servico localizado,Fora do escopo funcional; testes existentes preservados
FIN-02 Lancamentos e fechamento,GET,/api/financeiro/dashboard,financeiro.dashboard,AcessoEmpresaService.obter_escopo|FinanceiroService.obter_dashboard,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
FIN-02 Lancamentos e fechamento,POST,/api/financeiro/fechamentos,financeiro.criar_fechamento,AcessoEmpresaService.obter_escopo|FinanceiroService.criar_fechamento,tests/test_fluxo_pdv_financeiro.py::test_lancamento_manual_e_fechamento|tests/test_fluxo_pdv_financeiro.py::test_listagem_de_fechamentos_retorna_operador_e_diferenca|tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
FIN-02 Lancamentos e fechamento,GET,/api/financeiro/fechamentos,financeiro.listar_fechamentos,AcessoEmpresaService.obter_escopo|FinanceiroService.listar_fechamentos,tests/test_fluxo_pdv_financeiro.py::test_listagem_de_fechamentos_retorna_operador_e_diferenca|tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
FIN-02 Lancamentos e fechamento,POST,/api/financeiro/lancamentos,financeiro.criar_lancamento,AcessoEmpresaService.obter_escopo|FinanceiroService.criar_lancamento_manual,tests/test_fluxo_pdv_financeiro.py::test_lancamento_manual_e_fechamento|tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
FIN-02 Lancamentos e fechamento,GET,/api/financeiro/lancamentos,financeiro.listar_lancamentos,AcessoEmpresaService.obter_escopo|FinanceiroService.listar_lancamentos,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
FIN-02 Lancamentos e fechamento,GET,/api/financeiro/lancamentos/view,financeiro.pagina_lancamentos,template/decorator/helper/consulta direta,LACUNA: sem teste direto de servico localizado,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
FIN-02 Lancamentos e fechamento,GET,/api/financeiro/relatorios/adiantamentos/impressao,financeiro.relatorio_adiantamentos_impressao,AcessoEmpresaService.obter_escopo|AdiantamentoService.listar|AdiantamentoService.obter_resumo_folha,tests/test_fluxo_pdv_financeiro.py::test_resumo_folha_considera_adiantamento_em_dinheiro|tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
FIN-02 Lancamentos e fechamento,GET,/api/financeiro/relatorios/fluxo-caixa/impressao,financeiro.relatorio_fluxo_caixa_impressao,AcessoEmpresaService.obter_escopo|FinanceiroService.obter_relatorio_fluxo_caixa,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
FIN-02 Lancamentos e fechamento,GET,/api/financeiro/relatorios/produtos-mais-vendidos/impressao,financeiro.relatorio_produtos_mais_vendidos_impressao,AcessoEmpresaService.obter_escopo|FinanceiroService.obter_relatorio_produtos_vendidos,tests/test_fluxo_pdv_financeiro.py::test_relatorio_produtos_mais_vendidos_consolida_itens_do_pdv|tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
FIN-02 Lancamentos e fechamento,GET,/api/financeiro/relatorios/view,financeiro.pagina_relatorios,template/decorator/helper/consulta direta,LACUNA: sem teste direto de servico localizado,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
FIN-02 Lancamentos e fechamento,GET,/api/financeiro/view,financeiro.pagina,template/decorator/helper/consulta direta,LACUNA: sem teste direto de servico localizado,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
FORA-02 Fiscal,GET,/api/fiscal/auxiliares,fiscal.auxiliares,AcessoEmpresaService.obter_escopo|FiscalService.listar_auxiliares,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Fora do escopo funcional; testes existentes preservados
FORA-02 Fiscal,GET,/api/fiscal/configuracao,fiscal.obter_configuracao,AcessoEmpresaService.obter_escopo|FiscalService.obter_configuracao,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Fora do escopo funcional; testes existentes preservados
FORA-02 Fiscal,PUT,/api/fiscal/configuracao/<int:empresa_id>,fiscal.atualizar_configuracao,AcessoEmpresaService.obter_escopo|FiscalService.atualizar_configuracao,tests/test_fluxo_pdv_financeiro.py::test_emissao_fiscal_gera_numero_chave_xml_e_incrementa_numeracao|tests/test_fluxo_pdv_financeiro.py::test_prevalidacao_fiscal_fica_pronta_com_base_minima_preenchida|tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Fora do escopo funcional; testes existentes preservados
FORA-02 Fiscal,GET,/api/fiscal/notas,fiscal.listar_notas,AcessoEmpresaService.obter_escopo|FiscalService.listar_notas,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Fora do escopo funcional; testes existentes preservados
FORA-02 Fiscal,POST,/api/fiscal/notas/<int:nota_id>/cancelar,fiscal.cancelar_nota,AcessoEmpresaService.obter_escopo|FiscalService.cancelar_nota_venda,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Fora do escopo funcional; testes existentes preservados
